service_id,date,exception_type
6,20170417,2
6,20170418,2
6,20170419,2
6,20170420,2
6,20170421,2
6,20170422,2
6,20170423,2
6,20170424,2
6,20170425,2
6,20170426,2
6,20170427,2
6,20170428,2
6,20170429,2
6,20170430,2
6,20170501,2
6,20170508,2
6,20170525,2
6,20170526,2
6,20170605,2
1,20170417,2
1,20170418,2
1,20170419,2
1,20170420,2
1,20170421,2
1,20170422,2
1,20170423,2
1,20170424,2
1,20170425,2
1,20170426,2
1,20170427,2
1,20170428,2
1,20170429,2
1,20170430,2
1,20170501,2
1,20170508,2
1,20170525,2
1,20170526,2
1,20170605,2
5,20170417,2
5,20170418,2
5,20170419,2
5,20170420,2
5,20170421,2
5,20170422,2
5,20170423,2
5,20170424,2
5,20170425,2
5,20170426,2
5,20170427,2
5,20170428,2
5,20170429,2
5,20170430,2
5,20170501,2
5,20170508,2
5,20170525,2
5,20170526,2
5,20170605,2
8,20170417,2
8,20170418,2
8,20170419,2
8,20170420,2
8,20170421,2
8,20170422,2
8,20170423,2
8,20170424,2
8,20170425,2
8,20170426,2
8,20170427,2
8,20170428,2
8,20170429,2
8,20170430,2
8,20170501,2
8,20170508,2
8,20170525,2
8,20170526,2
8,20170605,2
2,20170417,2
2,20170418,2
2,20170419,2
2,20170420,2
2,20170421,2
2,20170422,2
2,20170423,2
2,20170424,2
2,20170425,2
2,20170426,2
2,20170427,2
2,20170428,2
2,20170429,2
2,20170430,2
2,20170501,2
2,20170508,2
2,20170525,2
2,20170526,2
2,20170605,2
3,20170417,2
3,20170418,2
3,20170419,2
3,20170420,2
3,20170421,2
3,20170422,2
3,20170423,2
3,20170424,2
3,20170425,2
3,20170426,2
3,20170427,2
3,20170428,2
3,20170429,2
3,20170430,2
3,20170501,2
3,20170508,2
3,20170525,2
3,20170526,2
3,20170605,2
4,20170417,2
4,20170418,2
4,20170419,2
4,20170420,2
4,20170421,2
4,20170422,2
4,20170423,2
4,20170424,2
4,20170425,2
4,20170426,2
4,20170427,2
4,20170428,2
4,20170429,2
4,20170430,2
4,20170501,2
4,20170508,2
4,20170525,2
4,20170526,2
4,20170605,2
7,20170417,2
7,20170418,2
7,20170419,2
7,20170420,2
7,20170421,2
7,20170422,2
7,20170423,2
7,20170424,2
7,20170425,2
7,20170426,2
7,20170427,2
7,20170428,2
7,20170429,2
7,20170430,2
7,20170501,2
7,20170526,2
12,20170417,2
12,20170501,2
12,20170502,2
12,20170503,2
12,20170504,2
12,20170505,2
12,20170506,2
12,20170507,2
12,20170508,2
12,20170509,2
12,20170510,2
12,20170511,2
12,20170512,2
12,20170513,2
12,20170514,2
12,20170515,2
12,20170516,2
12,20170517,2
12,20170518,2
12,20170519,2
12,20170520,2
12,20170521,2
12,20170522,2
12,20170523,2
12,20170524,2
12,20170525,2
12,20170605,2
10,20170417,2
10,20170501,2
10,20170502,2
10,20170503,2
10,20170504,2
10,20170505,2
10,20170506,2
10,20170507,2
10,20170508,2
10,20170509,2
10,20170510,2
10,20170511,2
10,20170512,2
10,20170513,2
10,20170514,2
10,20170515,2
10,20170516,2
10,20170517,2
10,20170518,2
10,20170519,2
10,20170520,2
10,20170521,2
10,20170522,2
10,20170523,2
10,20170524,2
10,20170525,2
10,20170605,2
9,20170417,2
9,20170501,2
9,20170502,2
9,20170503,2
9,20170504,2
9,20170505,2
9,20170506,2
9,20170507,2
9,20170508,2
9,20170509,2
9,20170510,2
9,20170511,2
9,20170512,2
9,20170513,2
9,20170514,2
9,20170515,2
9,20170516,2
9,20170517,2
9,20170518,2
9,20170519,2
9,20170520,2
9,20170521,2
9,20170522,2
9,20170523,2
9,20170524,2
9,20170525,2
9,20170605,2
11,20170501,2
11,20170502,2
11,20170503,2
11,20170504,2
11,20170505,2
11,20170506,2
11,20170507,2
11,20170508,2
11,20170509,2
11,20170510,2
11,20170511,2
11,20170512,2
11,20170513,2
11,20170514,2
11,20170515,2
11,20170516,2
11,20170517,2
11,20170518,2
11,20170519,2
11,20170520,2
11,20170521,2
11,20170522,2
11,20170523,2
11,20170524,2
11,20170525,2
